Date;Close;;;;;
03/01/2021;7.050;;;;;
10/01/2021;6.955;;;;;
17/01/2021;7.080;;;;;
24/01/2021;6.760;;;;;
31/01/2021;6.915;;;;;
07/02/2021;6.880;;;;;
14/02/2021;6.825;;;;;
21/02/2021;6.710;;;;;
28/02/2021;6.800;;;;;
07/03/2021;6.765;;;;;
14/03/2021;6.760;;;;;
21/03/2021;6.415;;;;;
28/03/2021;6.225;;;;;
04/04/2021;6.200;;;;;
11/04/2021;6.275;;;;;
18/04/2021;6.390;;;;;
25/04/2021;6.405;;;;;
02/05/2021;6.400;;;;;
09/05/2021;6.480;;;;;
16/05/2021;6.360;;;;;
23/05/2021;6.340;;;;;
30/05/2021;6.580;;;;;
06/06/2021;6.470;;;;;
13/06/2021;6.325;;;;;
20/06/2021;6.190;;;;;
27/06/2021;6.100;;;;;
04/07/2021;6.020;;;;;
11/07/2021;6.110;;;;;
18/07/2021;6.035;;;;;
25/07/2021;5.970;;;;;
01/08/2021;6.160;;;;;
08/08/2021;6.410;;;;;
15/08/2021;6.600;;;;;
22/08/2021;6.510;;;;;
29/08/2021;6.600;;;;;
05/09/2021;6.520;;;;;
12/09/2021;6.520;;;;;
19/09/2021;6.585;;;;;
26/09/2021;6.760;;;;;
03/10/2021;7.290;;;;;
10/10/2021;7.650;;;;;
17/10/2021;7.525;;;;;
24/10/2021;7.475;;;;;
31/10/2021;7.450;;;;;
07/11/2021;7.525;;;;;
14/11/2021;7.425;;;;;
21/11/2021;7.275;;;;;
28/11/2021;7.375;;;;;
05/12/2021;7.375;;;;;
12/12/2021;7.500;;;;;
19/12/2021;7.300;;;;;
26/12/2021;7.300;;;;;
02/01/2022;7.650;;;;;
09/01/2022;7.850;;;;;
16/01/2022;7.950;;;;;
23/01/2022;7.775;;;;;
30/01/2022;7.725;;;;;
06/02/2022;7.825;;;;;
13/02/2022;7.925;;;;;
20/02/2022;8.050;;;;;
27/02/2022;7.900;;;;;
06/03/2022;7.950;;;;;
13/03/2022;7.900;;;;;
20/03/2022;7.950;;;;;
27/03/2022;7.925;;;;;
03/04/2022;7.850;;;;;
10/04/2022;7.700;;;;;
17/04/2022;7.875;;;;;
24/04/2022;8.125;;;;;
08/05/2022;7.325;;;;;
15/05/2022;7.400;;;;;
22/05/2022;7.575;;;;;
29/05/2022;7.600;;;;;
05/06/2022;7.350;;;;;
12/06/2022;7.500;;;;;
19/06/2022;7.475;;;;;
26/06/2022;7.250;;;;;
03/07/2022;7.150;;;;;
10/07/2022;7.000;;;;;
17/07/2022;7.325;;;;;
24/07/2022;7.350;;;;;
31/07/2022;7.875;;;;;
07/08/2022;7.925;;;;;
14/08/2022;7.900;;;;;
21/08/2022;8.000;;;;;
28/08/2022;8.225;;;;;
04/09/2022;8.375;;;;;
11/09/2022;8.450;;;;;
18/09/2022;8.375;;;;;
25/09/2022;8.550;;;;;
02/10/2022;8.200;;;;;
09/10/2022;8.250;;;;;
16/10/2022;8.650;;;;;
23/10/2022;8.750;;;;;
30/10/2022;8.775;;;;;
06/11/2022;8.850;;;;;
13/11/2022;8.825;;;;;
20/11/2022;8.975;;;;;
27/11/2022;8.900;;;;;
04/12/2022;8.575;;;;;
11/12/2022;8.600;;;;;
18/12/2022;8.500;;;;;
25/12/2022;8.550;;;;;
01/01/2023;8.300;;;;;
08/01/2023;8.050;;;;;
15/01/2023;8.300;;;;;
22/01/2023;8.700;;;;;
29/01/2023;8.700;;;;;
05/02/2023;8.825;;;;;
12/02/2023;8.725;;;;;
19/02/2023;8.675;;;;;
26/02/2023;8.475;;;;;
05/03/2023;8.450;;;;;
12/03/2023;8.375;;;;;
19/03/2023;8.825;;;;;
26/03/2023;8.750;;;;;
02/04/2023;8.750;;;;;
09/04/2023;9.000;;;;;
16/04/2023;9.125;;;;;
23/04/2023;9.050;;;;;
30/04/2023;9.000;;;;;
07/05/2023;8.800;;;;;
14/05/2023;9.000;;;;;
21/05/2023;9.150;;;;;
28/05/2023;9.050;;;;;
04/06/2023;9.100;;;;;
11/06/2023;9.050;;;;;
18/06/2023;9.050;;;;;
25/06/2023;9.150;;;;;
02/07/2023;9.025;;;;;
09/07/2023;9.200;;;;;
16/07/2023;9.150;;;;;
23/07/2023;9.125;;;;;
30/07/2023;9.150;;;;;
06/08/2023;9.400;;;;;
13/08/2023;9.250;;;;;
20/08/2023;9.275;;;;;
27/08/2023;9.225;;;;;
