AQI,CO,NO2,O3
30.2,198.60268,0.046857167,55.789948
28.2,197.60132,0.046455536,54.93164
26.6,198.60268,0.046857167,54.64554
25.0,201.94054,0.048195943,55.07469
26.0,205.2784,0.048865333,55.789948
26.0,208.61626,0.050204106,56.505203
26.0,208.61626,0.050204106,55.789948
24.0,205.2784,0.050204106,52.928925
23.0,200.2716,0.046857167,50.0679
24.0,196.93375,0.044179615,51.498413
25.0,198.60268,0.04284084,53.64418
26.0,200.2716,0.04049798,55.789948
27.0,203.60947,0.040163286,59.366226
29.0,205.2784,0.03882451,62.22725
29.0,205.2784,0.03882451,62.942505
29.0,205.2784,0.03882451,62.942505
29.0,203.60947,0.037485734,62.22725
28.0,201.94054,0.042506143,60.796738
27.0,200.2716,0.050204106,59.366226
27.0,201.94054,0.0562286,58.65097
27.0,201.94054,0.0562286,58.65097
27.0,201.94054,0.054889824,57.935715
27.0,200.2716,0.052881658,57.935715
27.0,200.2716,0.05221227,58.65097
27.0,200.2716,0.05221227,59.366226
28.0,201.94054,0.05221227,61.511993
29.0,203.60947,0.052881658,63.65776
31.0,205.2784,0.05221227,66.51878
31.0,206.94733,0.05221227,67.949295
32.0,206.94733,0.051542886,68.66455
32.0,205.2784,0.050873496,68.66455
31.0,206.94733,0.054889824,67.23404
31.0,206.94733,0.060914315,66.51878
30.0,208.61626,0.05555921,65.80353
30.0,206.94733,0.04618778,64.37302
29.0,205.2784,0.038155124,62.22725
27.0,203.60947,0.030791853,59.366226
26.0,200.2716,0.025771443,56.505203
25.0,200.2716,0.023428584,55.07469
25.0,198.60268,0.023763277,53.64418
24.0,196.93375,0.026775524,52.928925
24.0,195.26482,0.03146124,52.928925
25.0,195.26482,0.038155124,53.64418
25.0,195.26482,0.04351023,53.64418
25.0,196.93375,0.04351023,54.359436
26.0,198.60268,0.044849,55.789948
26.0,198.60268,0.04618778,57.22046
27.0,198.60268,0.04551839,57.935715
27.0,198.60268,0.044179615,58.65097
27.0,198.60268,0.044849,58.65097
27.0,200.2716,0.04618778,59.366226
28.0,200.2716,0.047526553,60.081482
28.0,200.2716,0.046857167,60.081482
27.0,200.2716,0.04618778,59.366226
27.0,198.60268,0.04551839,58.65097
26.0,198.60268,0.047526553,57.22046
25.0,198.60268,0.04551839,54.359436
23.0,198.60268,0.03715104,50.783157
22.0,196.93375,0.027444912,47.922134
21.0,193.59589,0.021253072,45.41874
20.0,193.59589,0.017571438,43.988228
19.0,191.92696,0.01573062,41.84246
19.0,191.92696,0.015563274,41.484833
20.0,191.92696,0.018073479,43.272972
21.0,191.92696,0.022089807,45.41874
21.0,191.92696,0.025771443,45.41874
21.0,191.92696,0.030457158,45.41874
22.0,193.59589,0.03547757,47.20688
24.0,195.26482,0.039159205,52.21367
26.0,196.93375,0.044179615,56.505203
27.0,198.60268,0.046857167,59.366226
28.0,198.60268,0.047526553,60.796738
